id;id_evento;ts_evento;note
1;76906;2022-02-17T18:45:44;Director Tugrik
2;53142;2022-02-18T05:17:23;De-engineered Assistant red
3;48454;2022-02-17T19:32:23;Plastic Implemented transmitter
4;57941;2022-02-18T17:22:39;Soft impactful functionalities
5;38564;2022-02-18T07:12:32;West
6;37904;2022-02-18T17:50:59;plum
7;21054;2022-02-18T16:47:19;Refined Producer
8;86201;2022-02-17T21:24:38;withdrawal Small
9;54427;2022-02-18T11:30:09;Planner Chair Indiana
10;16321;2022-02-18T07:56:00;cross-platform web-readiness Kwacha
