id;id_stadio;ds_stadio;ts_cambio_stato
1;8398;Carolina benchmark technologies;2022-02-18T14:05:19
2;63360;pixel incubate;2022-02-18T02:05:19
3;86208;Bhutan Account extend;2022-02-18T09:56:24
4;62466;Usability Car;2022-02-18T16:11:13
5;57316;Object-based hard XML;2022-02-18T06:58:34
6;25171;Loan Convertible Massachusetts;2022-02-18T17:09:53
7;12884;Dong one-to-one;2022-02-18T05:06:33
8;3077;web-readiness Towels;2022-02-18T17:07:35
9;70305;input Metal;2022-02-18T04:33:31
10;13049;Pound models Officer;2022-02-18T17:18:58
